X,CH1
Second,Volt,
9.38e-03,1.40e+00
9.40e-03,3.28e+00
9.42e-03,3.00e+00
9.44e-03,2.76e+00
9.46e-03,2.48e+00
9.48e-03,2.08e+00
9.50e-03,3.24e+00
9.52e-03,3.32e+00
9.54e-03,3.16e+00
9.56e-03,2.96e+00
9.58e-03,2.72e+00
9.60e-03,2.40e+00
9.62e-03,2.12e+00
9.64e-03,3.08e+00
9.66e-03,2.92e+00
9.68e-03,2.48e+00
9.70e-03,3.12e+00
9.72e-03,3.24e+00
9.74e-03,3.16e+00
9.76e-03,2.76e+00
9.78e-03,3.12e+00
9.80e-03,3.28e+00
9.82e-03,3.08e+00
9.84e-03,2.76e+00
9.86e-03,2.64e+00
9.88e-03,2.56e+00
9.90e-03,2.60e+00
9.92e-03,2.52e+00
9.94e-03,2.52e+00
9.96e-03,2.36e+00
9.98e-03,2.20e+00
1.00e-02,2.24e+00
1.00e-02,2.20e+00
1.00e-02,2.00e+00
1.01e-02,1.92e+00
1.01e-02,1.92e+00
1.01e-02,1.68e+00
1.01e-02,1.60e+00
1.01e-02,3.20e+00
1.02e-02,3.04e+00
1.02e-02,2.76e+00
1.02e-02,2.64e+00
1.02e-02,2.48e+00
1.02e-02,2.20e+00
1.03e-02,2.16e+00
1.03e-02,2.08e+00
1.03e-02,1.88e+00
1.03e-02,1.88e+00
1.03e-02,2.56e+00
1.04e-02,2.36e+00
1.04e-02,2.32e+00
1.04e-02,2.28e+00
1.04e-02,3.20e+00
1.04e-02,2.96e+00
1.05e-02,2.96e+00
1.05e-02,2.72e+00
1.05e-02,2.60e+00
1.05e-02,2.64e+00
1.05e-02,2.44e+00
1.06e-02,2.32e+00
1.06e-02,2.32e+00
1.06e-02,2.28e+00
1.06e-02,2.20e+00
1.06e-02,2.12e+00
1.07e-02,3.24e+00
1.07e-02,3.08e+00
1.07e-02,2.92e+00
1.07e-02,2.92e+00
1.07e-02,2.72e+00
1.08e-02,2.60e+00
1.08e-02,2.68e+00
1.08e-02,2.64e+00
1.08e-02,2.48e+00
1.08e-02,2.48e+00
1.09e-02,2.44e+00
1.09e-02,2.32e+00
1.09e-02,2.36e+00
